2025-11-25 02:42:09 | INFO | microviral | Fetching submissions from r/politics (limit=500)…
2025-11-25 02:42:14 | INFO | microviral | Fetched 222 posts.

2025-11-25 02:42:14 | INFO | microviral | Building cascades…
2025-11-25 02:42:14 | INFO | microviral | 1. Jeffrey Epstein’s Brother Claims He Heard ‘from a Pretty Good Source’ That Epste  (comments=3146)
2025-11-25 02:42:31 | INFO | microviral | Fetching submissions from r/politics (limit=500)…
2025-11-25 02:42:36 | INFO | microviral | Fetched 222 posts.

2025-11-25 02:42:36 | INFO | microviral | Building cascades…
2025-11-25 02:42:36 | INFO | microviral | 1. Jeffrey Epstein’s Brother Claims He Heard ‘from a Pretty Good Source’ That Epste  (comments=3146)
2025-11-25 02:44:29 | INFO | microviral | 2. Donald Trump Snaps at Female Reporter Who Asks About Epstein Files: 'Quiet Piggy  (comments=2807)
2025-11-25 02:46:26 | INFO | microviral | 3. DOGE Disbanded: Elon Musk’s Cost-Cutting Project Quietly Ended  (comments=1754)
2025-11-25 02:47:41 | INFO | microviral | 4. ‘Unforgivable’: Trump’s ‘piggy’ insult is stoking more outrage than usual  (comments=2246)
2025-11-25 02:49:59 | INFO | microviral | 5. Turning Point leader pleads guilty to attempted election fraud  (comments=674)
2025-11-25 02:49:59 | INFO | microviral | 6. Senate suddenly passes the Epstein bill just hours after it cleared the House  (comments=3914)
2025-11-25 02:54:15 | INFO | microviral | 7. Trump, 79, Chickens Out of Public Showdown With Mamdani, 34  (comments=1446)
2025-11-25 02:55:57 | INFO | microviral | 8. John Fetterman to be Primaried  (comments=1273)
2025-11-25 02:57:03 | INFO | microviral | 9. Donald Trump faces articles of impeachment before Christmas  (comments=2108)
2025-11-25 02:58:54 | INFO | microviral | 10. Mike Johnson who railed against the Epstein bill - but voted for it - is now mad  (comments=1701)
2025-11-25 03:00:54 | INFO | microviral | 11. ICE Suddenly Loses Key Evidence One Day After Being Sued  (comments=616)
